site,year,n_days,mean_mda8,median_mda8,p90_mda8,p95_mda8,max_mda8
仁武,2018,364,50.65095336211407,49.931250000000006,75.97874999999999,81.18187499999998,108.3125
仁武,2019,347,49.13989467544943,49.3875,74.17500000000001,77.61875,97.625
仁武,2020,366,50.362447957325,52.28750000000001,73.75625,78.278125,86.97142857142858
仁武,2021,365,47.32901011089367,46.675,70.78500000000001,73.9125,86.575
仁武,2022,365,43.00808382257012,45.575,64.08428571428571,68.08500000000001,94.1875
仁武,2023,365,47.521252446183944,48.14285714285713,68.23749999999998,71.66999999999999,91.975
仁武,2024,366,46.524773939630485,47.30624999999999,65.90624999999999,70.96562499999999,90.98749999999998
仁武,2025,365,45.28775766470972,46.39999999999999,64.86250000000001,69.15666666666667,89.4375
前金,2018,365,51.11721787345074,50.8,77.76249999999999,81.58,104.05
前金,2019,365,50.744739073711656,53.26666666666664,75.31249999999999,80.64499999999998,100.1375
前金,2020,366,51.549289292219605,54.64999999999999,76.63749999999999,80.33035714285714,95.625
前金,2021,365,48.69369047619047,49.81249999999999,72.45249999999999,76.225,93.28749999999998
前金,2022,360,47.39746527777777,49.95624999999999,70.41749999999999,74.80669642857143,100.48749999999998
前金,2023,365,48.81711350293541,49.5375,70.3125,73.83178571428572,86.5
前金,2024,366,45.9230337626854,46.56071428571427,65.3125,72.5125,92.8625
前金,2025,365,45.6372700587084,46.67499999999999,65.82749999999999,69.36249999999998,92.21249999999998
前鎮,2018,364,43.90853937728938,43.474999999999994,68.16125,72.11955357142857,94.3625
前鎮,2019,365,45.743904109589046,47.68750000000001,70.69500000000001,77.4475,94.075
前鎮,2020,366,45.78752276867031,48.937499999999986,68.23124999999999,72.1125,82.49999999999999
前鎮,2021,365,43.20767775603392,43.6375,65.97500000000001,70.02666666666666,86.2875
前鎮,2022,365,43.02130136986301,45.12499999999999,65.74,69.57249999999999,92.875
前鎮,2023,365,44.571999347684276,45.86249999999999,64.49499999999999,68.58999999999999,83.8
前鎮,2024,366,43.550045537340615,44.59374999999999,63.4375,69.43124999999999,88.76249999999999
前鎮,2025,365,43.93430365296803,44.8875,62.90250000000002,65.235,84.55
大寮,2018,365,48.38055283757339,49.05,73.65750000000001,78.07000000000001,92.125
大寮,2019,365,48.567490215264186,49.475,72.53,78.68750000000001,95.2
大寮,2020,366,49.16599336455894,50.237500000000004,72.01250000000002,76.45312500000001,97.6
大寮,2021,365,46.04441454664058,46.8125,68.4025,72.7425,85.125
大寮,2022,361,44.467055797388205,46.0125,67.025,70.35000000000001,84.0625
大寮,2023,364,46.168014128728416,46.85625,66.98875,71.32687499999997,90.9875
大寮,2024,366,44.87814207650273,45.55,66.4625,71.24375,90.975
大寮,2025,365,44.5349217221135,45.18750000000001,64.73000000000002,69.9475,89.2125
小港,2018,365,44.42309034572733,43.9,70.13000000000001,74.25666666666667,96.3375
小港,2019,365,44.86989236790607,46.45,69.20250000000001,76.52428571428572,91.45
小港,2020,366,45.95189142596929,46.81875000000001,69.4,73.93437500000002,86.25
小港,2021,365,42.34564416177431,43.125000000000014,64.52250000000001,67.84750000000001,80.22500000000001
小港,2022,365,41.29372146118722,43.43749999999999,63.32,67.0325,86.60000000000001
小港,2023,365,43.205926288323546,44.77499999999999,64.015,68.63178571428573,80.0375
小港,2024,366,41.909761254228464,42.375,62.28125,67.334375,85.2875
小港,2025,365,41.98360404435746,42.18749999999999,59.9625,64.91,84.3875
左營,2018,365,51.52712491846053,51.1125,80.255,83.765,106.23333333333332
左營,2019,364,53.19541143380429,53.89375,80.12999999999998,86.195,107.0625
左營,2020,366,51.06279924538122,52.90833333333333,76.06875000000001,80.075,90.85
左營,2021,365,48.54574037834312,48.2375,74.34500000000001,77.38714285714288,87.80000000000001
左營,2022,365,47.345396281800404,50.26250000000001,71.03000000000002,74.11250000000001,99.45000000000002
左營,2023,365,48.57120678408351,50.000000000000014,70.07250000000002,74.79250000000002,90.1125
左營,2024,366,47.08133782201406,47.756250000000016,68.18125,73.09375000000001,92.61250000000004
左營,2025,365,45.862361382909334,46.83750000000001,66.5425,70.24750000000002,87.65
復興,2018,365,43.85309686888454,43.15,68.42750000000001,71.9557142857143,91.1875
復興,2019,365,44.10294194390085,45.01428571428572,67.56750000000001,72.9475,91.4125
復興,2020,366,44.60684361176165,46.26875,67.88750000000002,72.38125000000001,84.3375
復興,2021,365,43.687431506849315,44.00000000000001,66.2675,70.71000000000001,88.66250000000001
復興,2022,365,43.26428082191781,45.633333333333326,65.75250000000001,70.255,95.81666666666666
復興,2023,365,44.05702544031311,44.24999999999999,63.3175,67.71000000000001,83.6125
復興,2024,366,42.83736338797814,43.887499999999996,63.40624999999999,68.26666666666667,89.02499999999999
復興,2025,365,43.056172537508154,43.92857142857143,62.3125,65.88,86.74285714285715
林園,2018,365,56.0215329419439,57.462500000000006,84.9057142857143,89.5675,113.5625
林園,2019,359,56.19363974001857,57.3,84.14666666666666,88.79874999999998,102.3125
林園,2020,365,53.47723091976516,56.375,79.185,83.51,107.6875
林園,2021,365,53.300981735159816,53.4375,78.72000000000001,82.2325,92.78333333333336
林園,2022,365,47.64053816046968,49.9875,71.36250000000001,75.43500000000002,88.11250000000001
林園,2023,365,50.57030006523158,51.47500000000001,74.84,80.2775,102.3625
林園,2024,365,49.77796640574038,50.22500000000001,73.635,79.7425,92.6875
林園,2025,365,48.445746901500335,49.150000000000006,69.85750000000002,73.3525,90.7875
楠梓,2018,365,50.447985975212006,49.8125,75.17750000000001,80.13,105.5875
楠梓,2019,365,49.6370172863666,51.0,75.08250000000001,79.25250000000001,96.725
楠梓,2020,366,50.57433808222742,52.833035714285714,74.84910714285715,78.96249999999999,89.425
楠梓,2021,359,46.16357607109696,46.6875,68.83500000000001,72.5005357142857,85.725
楠梓,2022,365,46.25551859099803,47.93749999999999,68.43249999999999,72.8425,92.525
楠梓,2023,365,47.42403294194389,48.19999999999999,67.3825,72.405,89.16249999999998
楠梓,2024,366,45.98502959927139,47.373214285714276,65.65624999999999,69.66874999999997,92.2625
楠梓,2025,365,44.5557420091324,46.07499999999999,63.58607142857141,68.485,83.88749999999999
橋頭,2018,365,45.63900521852576,43.74999999999999,69.9325,73.78249999999998,106.925
橋頭,2019,365,51.29186725375081,51.48749999999999,76.17999999999998,81.8925,94.8125
橋頭,2020,366,50.59033160941971,51.85812499999999,75.11874999999998,79.47187499999998,91.3375
橋頭,2021,365,46.64749510763208,45.15714285714285,69.94999999999999,73.02499999999999,88.77499999999998
