site,year,days,days_with_mda8,mean_o3_hourly_count,mean_valid_8h_windows
仁武,2018,365,364,23.506849315068493,23.487671232876714
仁武,2019,365,347,22.465753424657535,22.506849315068493
仁武,2020,366,366,23.672131147540984,23.73497267759563
仁武,2021,365,365,23.52054794520548,23.35890410958904
仁武,2022,365,365,23.53698630136986,23.4986301369863
仁武,2023,365,365,23.627397260273973,23.693150684931506
仁武,2024,366,366,23.598360655737704,23.631147540983605
仁武,2025,365,365,23.605479452054794,23.742465753424657
前金,2018,365,365,23.56986301369863,23.594520547945205
前金,2019,365,365,23.65205479452055,23.687671232876713
前金,2020,366,366,23.66393442622951,23.704918032786885
前金,2021,365,365,23.578082191780823,23.39178082191781
前金,2022,365,360,23.246575342465754,23.164383561643834
前金,2023,365,365,23.77260273972603,23.805479452054794
前金,2024,366,366,23.66393442622951,23.721311475409838
前金,2025,365,365,23.731506849315068,23.835616438356166
前鎮,2018,365,364,23.515068493150686,23.54794520547945
前鎮,2019,365,365,23.684931506849313,23.85753424657534
前鎮,2020,366,366,23.62568306010929,23.674863387978142
前鎮,2021,365,365,23.356164383561644,23.175342465753424
前鎮,2022,365,365,23.63013698630137,23.589041095890412
前鎮,2023,365,365,23.734246575342464,23.854794520547944
前鎮,2024,366,366,23.669398907103826,23.811475409836067
前鎮,2025,365,365,23.632876712328766,23.704109589041096
大寮,2018,365,365,23.424657534246574,23.443835616438356
大寮,2019,365,365,23.665753424657535,23.65753424657534
大寮,2020,366,366,23.633879781420767,23.6448087431694
大寮,2021,365,365,23.5013698630137,23.345205479452055
大寮,2022,365,361,23.24931506849315,23.123287671232877
大寮,2023,365,364,23.47945205479452,23.589041095890412
大寮,2024,366,366,23.639344262295083,23.68032786885246
大寮,2025,365,365,23.687671232876713,23.76986301369863
小港,2018,365,365,23.621917808219177,23.69041095890411
小港,2019,365,365,23.77260273972603,23.824657534246576
小港,2020,366,366,23.661202185792348,23.69945355191257
小港,2021,365,365,23.523287671232875,23.44109589041096
小港,2022,365,365,23.506849315068493,23.484931506849314
小港,2023,365,365,23.673972602739727,23.72876712328767
小港,2024,366,366,23.688524590163933,23.76502732240437
小港,2025,365,365,23.64109589041096,23.7013698630137
左營,2018,365,365,23.706849315068492,23.778082191780822
左營,2019,365,364,23.504109589041096,23.526027397260275
左營,2020,366,366,23.540983606557376,23.592896174863387
左營,2021,365,365,23.528767123287672,23.375342465753423
左營,2022,365,365,23.526027397260275,23.484931506849314
左營,2023,365,365,23.715068493150685,23.824657534246576
左營,2024,366,366,23.669398907103826,23.715846994535518
左營,2025,365,365,23.660273972602738,23.736986301369864
復興,2018,365,365,23.586301369863012,23.58082191780822
復興,2019,365,365,23.660273972602738,23.764383561643836
復興,2020,366,366,23.661202185792348,23.653005464480874
復興,2021,365,365,23.34794520547945,23.136986301369863
復興,2022,365,365,23.50958904109589,23.49041095890411
復興,2023,365,365,23.65753424657534,23.78082191780822
復興,2024,366,366,23.505464480874316,23.557377049180328
復興,2025,365,365,23.649315068493152,23.69041095890411
林園,2018,365,365,23.495890410958904,23.517808219178082
林園,2019,365,359,23.2707182320442,23.106849315068494
林園,2020,366,365,23.275956284153004,23.240437158469945
林園,2021,365,365,23.394520547945206,23.18904109589041
林園,2022,365,365,23.512328767123286,23.457534246575342
林園,2023,365,365,23.44931506849315,23.512328767123286
林園,2024,366,365,23.396174863387976,23.385245901639344
林園,2025,365,365,23.663013698630138,23.720547945205478
楠梓,2018,365,365,23.627397260273973,23.646575342465752
楠梓,2019,365,365,23.764383561643836,23.832876712328765
楠梓,2020,366,366,23.546448087431695,23.614754098360656
楠梓,2021,365,359,23.06027397260274,22.953424657534246
楠梓,2022,365,365,23.482191780821918,23.528767123287672
楠梓,2023,365,365,23.646575342465752,23.693150684931506
楠梓,2024,366,366,23.650273224043715,23.7103825136612
楠梓,2025,365,365,23.715068493150685,23.816438356164383
橋頭,2018,365,365,23.643835616438356,23.676712328767124
橋頭,2019,365,365,23.69041095890411,23.715068493150685
橋頭,2020,366,366,23.639344262295083,23.653005464480874
橋頭,2021,365,365,23.336986301369862,23.164383561643834
橋頭,2022,365,365,23.55890410958904,23.534246575342465
橋頭,2023,365,364,23.616438356164384,23.602739726027398
橋頭,2024,366,365,23.631147540983605,23.6775956284153
橋頭,2025,365,365,23.742465753424657,23.805479452054794
美濃,2018,365,365,23.484931506849314,23.56986301369863
美濃,2019,365,364,23.583561643835615,23.621917808219177
美濃,2020,366,366,23.756830601092897,23.830601092896174
美濃,2021,365,365,23.586301369863012,23.495890410958904
美濃,2022,365,365,23.564383561643837,23.487671232876714
美濃,2023,365,364,23.564383561643837,23.624657534246577
美濃,2024,366,366,23.69672131147541,23.718579234972676
美濃,2025,365,365,23.726027397260275,23.783561643835615
鳳山,2018,365,365,23.58082191780822,23.542465753424658
鳳山,2019,365,365,23.736986301369864,23.838356164383562
鳳山,2020,366,363,23.316939890710383,23.23497267759563
鳳山,2021,365,365,23.361643835616437,23.232876712328768
鳳山,2022,365,364,23.5013698630137,23.405479452054795
鳳山,2023,365,365,23.723287671232878,23.794520547945204
鳳山,2024,366,366,23.704918032786885,23.74863387978142
鳳山,2025,365,365,23.676712328767124,23.684931506849313
