site,season,hour,mean_o3,p90_o3,n_hours
仁武,autumn,0,22.530113636363637,37.67000000000001,704
仁武,autumn,1,21.173011363636363,35.370000000000005,704
仁武,autumn,2,19.994176136363635,34.1,704
仁武,autumn,3,18.937571428571427,32.61000000000001,700
仁武,autumn,4,17.37191977077364,31.1,698
仁武,autumn,5,15.634776334776335,29.0,693
仁武,autumn,6,12.782051282051283,24.59,702
仁武,autumn,7,15.37114568599717,26.1,707
仁武,autumn,8,24.565482954545452,39.77,704
仁武,autumn,9,37.19261363636363,55.14000000000001,704
仁武,autumn,10,49.14617604617605,69.58,693
仁武,autumn,11,58.09511834319527,81.9,676
仁武,autumn,12,62.09045521292217,87.0,681
仁武,autumn,13,61.42941176470588,86.01,680
仁武,autumn,14,58.988596491228066,81.68000000000002,684
仁武,autumn,15,55.829069767441865,76.9,688
仁武,autumn,16,51.43150887573964,71.95,676
仁武,autumn,17,46.041014492753625,66.71000000000001,690
仁武,autumn,18,40.789857142857144,60.61000000000001,700
仁武,autumn,19,36.574,56.61000000000001,700
仁武,autumn,20,32.630714285714284,52.21000000000001,700
仁武,autumn,21,28.98102710413695,47.0,701
仁武,autumn,22,26.290584878744653,43.0,701
仁武,autumn,23,24.02372159090909,39.5,704
仁武,spring,0,24.31725543478261,40.650000000000006,736
仁武,spring,1,23.270884353741494,40.5,735
仁武,spring,2,22.03600543478261,38.1,736
仁武,spring,3,20.422146739130437,36.849999999999994,736
仁武,spring,4,19.14728260869565,36.1,736
仁武,spring,5,17.152452316076293,33.210000000000015,734
仁武,spring,6,15.973097826086958,31.75,736
仁武,spring,7,19.64816326530612,34.96,735
仁武,spring,8,27.577656675749317,46.74000000000001,734
仁武,spring,9,36.81123287671233,59.3,730
仁武,spring,10,45.76002824858757,69.83000000000001,708
仁武,spring,11,51.534184397163116,77.96000000000001,705
仁武,spring,12,54.01481481481482,81.74999999999999,702
仁武,spring,13,53.83563380281691,80.41000000000001,710
仁武,spring,14,52.16005625879044,77.4,711
仁武,spring,15,50.10508474576272,75.3,708
仁武,spring,16,47.246918767507005,72.07000000000001,714
仁武,spring,17,43.7994452149792,67.9,721
仁武,spring,18,39.69288645690835,63.3,731
仁武,spring,19,35.840109140518415,59.080000000000005,733
仁武,spring,20,32.58855585831063,53.77,734
仁武,spring,21,29.813469387755102,49.52,735
仁武,spring,22,27.43673469387755,45.0,735
仁武,spring,23,25.65863945578231,41.9,735
仁武,summer,0,16.95817438692098,28.8,734
仁武,summer,1,16.28555858310627,27.2,734
仁武,summer,2,15.992915531335148,26.770000000000003,734
仁武,summer,3,15.278065395095368,26.910000000000014,734
仁武,summer,4,14.61448087431694,25.7,732
仁武,summer,5,14.052387448840381,25.78000000000001,733
仁武,summer,6,13.741144414168938,24.070000000000004,734
仁武,summer,7,16.671994535519126,25.3,732
仁武,summer,8,22.142323651452283,32.16000000000002,723
仁武,summer,9,28.255817174515236,43.19,722
仁武,summer,10,32.89064245810056,52.35,716
仁武,summer,11,35.52604316546763,59.86,695
仁武,summer,12,35.786925287356325,61.55,696
仁武,summer,13,34.59645892351275,57.25,706
仁武,summer,14,32.27768361581921,53.380000000000045,708
仁武,summer,15,29.327910238429173,46.66000000000002,713
仁武,summer,16,26.979387186629527,43.330000000000005,718
仁武,summer,17,24.48719008264463,38.7,726
仁武,summer,18,22.146565934065936,37.23000000000001,728
仁武,summer,19,20.482673942701226,33.4,733
仁武,summer,20,19.122677595628414,31.79,732
仁武,summer,21,18.23315068493151,31.01,730
仁武,summer,22,17.55843621399177,30.120000000000005,729
仁武,summer,23,17.306002728512958,29.380000000000006,733
仁武,winter,0,15.703467406380028,26.5,721
仁武,winter,1,14.899165507649514,26.2,719
仁武,winter,2,14.095125348189415,25.730000000000008,718
仁武,winter,3,13.522657342657343,25.76,715
仁武,winter,4,12.648163841807909,25.130000000000006,708
仁武,winter,5,10.935428571428572,22.71,700
仁武,winter,6,8.82943722943723,19.58000000000001,693
仁武,winter,7,8.297075208913649,17.5,718
仁武,winter,8,12.5278940027894,23.1,717
仁武,winter,9,20.63701117318436,34.7,716
仁武,winter,10,31.793083573487035,49.3,694
仁武,winter,11,42.88073529411765,63.1,680
仁武,winter,12,51.863119533527694,72.5,686
仁武,winter,13,56.2826895565093,76.22000000000001,699
仁武,winter,14,56.35107604017216,76.44,697
仁武,winter,15,53.928,72.31,700
仁武,winter,16,48.6203125,66.87,704
仁武,winter,17,41.10183098591549,60.0,710
仁武,winter,18,34.23221288515406,51.9,714
