site,site_id,site_eng_name,site_type,air_quality_zone,county,township,site_address,longitude,latitude,aqi_longitude,aqi_latitude,aqi_publishtime
美濃,47,Meinong,一般站,高屏空品區,高雄市,美濃區,高雄市美濃區中壇里忠孝路19號,120.530542,22.883583,120.53054,22.883583,2026/07/15 16:00:00
橋頭,48,Qiaotou,背景站,高屏空品區,高雄市,橋頭區,高雄市橋頭區隆豐北路1號,120.305689,22.757506,120.30569,22.757505,2026/07/15 16:00:00
仁武,49,Renwu,一般站,高屏空品區,高雄市,仁武區,高雄市仁武區八卦里永仁街555號,120.332631,22.689056,120.332634,22.689056,2026/07/15 16:00:00
鳳山,50,Fengshan,交通站,高屏空品區,高雄市,鳳山區,高雄市鳳山區曹公路6號,120.357422,22.628126,120.35742,22.628126,2026/07/15 16:00:00
大寮,51,Daliao,一般站,高屏空品區,高雄市,大寮區,高雄市大寮區潮寮路61號,120.425311,22.56413611,120.42531,22.564137,2026/07/15 16:00:00
林園,52,Linyuan,一般站,高屏空品區,高雄市,林園區,高雄市林園區北汕路58巷2號,120.41175,22.4795,120.41175,22.4795,2026/07/15 16:00:00
楠梓,53,Nanzi,一般站,高屏空品區,高雄市,楠梓區,高雄市楠梓區楠梓路262號,120.328289,22.733667,120.328285,22.733667,2026/07/15 16:00:00
左營,54,Zuoying,一般站,高屏空品區,高雄市,左營區,高雄市左營區翠華路687號,120.292917,22.674861,120.292915,22.674862,2026/07/15 16:00:00
前金,56,Qianjin,一般站,高屏空品區,高雄市,前金區,高雄市三民區市中一路339號,120.28676111,22.63390278,120.28676,22.633904,2026/07/15 16:00:00
前鎮,57,Qianzhen,工業站,高屏空品區,高雄市,前鎮區,高雄市前鎮區中山三路43號,120.30833356,22.6044507,120.308334,22.60445,2026/07/15 16:00:00
小港,58,Xiaogang,一般站,高屏空品區,高雄市,小港區,高雄市小港區平和南路185號,120.337736,22.565833,120.33774,22.565832,2026/07/15 16:00:00
復興,71,Fuxing,交通站,高屏空品區,高雄市,前鎮區,高雄市前鎮區民權二路331號,120.312017,22.608711,120.31202,22.608711,2026/07/15 16:00:00
