site,year,season,n_days,mean_mda8,p90_mda8
仁武,2018,autumn,91,61.38409863945578,81.78571428571429
仁武,2018,spring,92,53.96037784679089,78.21160714285713
仁武,2018,summer,91,37.30194924123495,54.725
仁武,2018,winter,90,49.91291005291006,67.9275
仁武,2019,autumn,73,63.37691617742988,81.07750000000001
仁武,2019,spring,92,52.14871247412008,75.13875000000002
仁武,2019,summer,92,32.65661878881988,55.7325
仁武,2019,winter,90,51.36597883597884,65.60910714285714
仁武,2020,autumn,91,63.60401622187337,78.45
仁武,2020,spring,92,53.367954192546584,77.155
仁武,2020,summer,92,33.03304865424431,52.288750000000014
仁武,2020,winter,91,51.6021781789639,68.575
仁武,2021,autumn,91,51.99809000523286,71.95
仁武,2021,spring,92,51.53988742236025,73.56375
仁武,2021,summer,92,33.75653467908903,46.6375
仁武,2021,winter,90,52.17768518518518,70.565
仁武,2022,autumn,91,56.259903192046046,69.7375
仁武,2022,spring,92,44.84140786749483,64.48375
仁武,2022,summer,92,28.82241200828157,47.223928571428566
仁武,2022,winter,90,42.2358664021164,55.300000000000004
仁武,2023,autumn,91,55.75521978021976,71.39999999999998
仁武,2023,spring,92,56.381838768115934,71.11125
仁武,2023,summer,92,32.440476190476176,47.77874999999999
仁武,2023,winter,90,45.55421296296295,59.304464285714275
仁武,2024,autumn,91,49.49787414965986,67.12499999999999
仁武,2024,spring,92,52.51758540372669,72.84624999999998
仁武,2024,summer,92,34.19288949275361,51.08749999999999
仁武,2024,winter,91,49.9604068550497,64.77499999999998
仁武,2025,autumn,91,48.94419152276296,65.725
仁武,2025,spring,92,49.50489130434782,71.2025
仁武,2025,summer,92,34.81075310559006,54.69000000000001
仁武,2025,winter,90,47.98967592592592,59.89875000000001
前金,2018,autumn,91,63.4973704866562,81.77499999999999
前金,2018,spring,92,54.75852743271221,80.0475
前金,2018,summer,92,35.02733566252588,52.9325
前金,2018,winter,90,51.3247156084656,68.27
前金,2019,autumn,91,62.520905285190985,81.51249999999999
前金,2019,spring,92,55.12410714285713,79.21875
