site,site_eng_name,site_type,township,longitude,latitude,n_days,mean_mda8,median_mda8,std_mda8,p90_mda8,p95_mda8,max_mda8,mean_2018,mean_2025,raw_lin_slope_ppb_per_yr
林園,Linyuan,一般站,林園區,120.41175,22.4795,2914,51.92,52.41,19.42,77.71,83.03,113.56,56.02,48.45,-1.184
美濃,Meinong,一般站,美濃區,120.530542,22.883583,2920,50.03,50.16,15.47,70.19,75.04,99.59,50.73,48.19,-0.169
左營,Zuoying,一般站,左營區,120.292917,22.674861,2921,49.15,50.06,18.96,73.83,79.05,107.06,51.53,45.86,-0.939
前金,Qianjin,一般站,前金區,120.28676111,22.63390278,2917,48.74,49.79,18.38,72.55,77.3,104.05,51.12,45.64,-0.857
楠梓,Nanzi,一般站,楠梓區,120.328289,22.733667,2916,47.63,48.65,17.71,70.56,75.34,105.59,50.45,44.56,-0.82
仁武,Renwu,一般站,仁武區,120.332631,22.689056,2903,47.47,47.81,17.46,70.14,75.22,108.31,50.65,45.29,-0.756
橋頭,Qiaotou,背景站,橋頭區,120.305689,22.757506,2920,47.29,47.67,17.11,69.68,74.83,106.92,45.64,46.16,-0.423
大寮,Daliao,一般站,大寮區,120.425311,22.56413611,2917,46.53,47.21,17.4,69.09,74.06,97.6,48.38,44.53,-0.666
前鎮,Qianzhen,工業站,前鎮區,120.30833356,22.6044507,2921,44.22,45.34,17.46,66.16,70.69,94.36,43.91,43.93,-0.174
復興,Fuxing,交通站,前鎮區,120.312017,22.608711,2922,43.68,44.58,17.17,65.88,70.7,95.82,43.85,43.06,-0.166
鳳山,Fengshan,交通站,鳳山區,120.357422,22.628126,2918,43.63,43.86,17.23,66.77,72.03,100.69,45.48,42.32,-0.93
小港,Xiaogang,一般站,小港區,120.337736,22.565833,2922,43.25,44.24,17.5,65.87,70.52,96.34,44.42,41.98,-0.49
